network,node,degree,eigenvector,betweenness,kshell,node_count,edge_count,density,modularity,sex,weight,svl
Network_1019,BGS-3813,1,3.266697622958814e-17,0.0,1,3228,17816,0.0034206426645685085,0.8464375422782009,F,35.7,34.8
Network_1019,BGS-3814,5,5.3242315633108475e-14,1.4408803894449938e-07,4,3228,17816,0.0034206426645685085,0.8464375422782009,M,22.5,31.6
Network_1019,BGS-3815,5,5.324281321215354e-14,1.4408803894449938e-07,4,3228,17816,0.0034206426645685085,0.8464375422782009,M,26.3,32.0
Network_1019,BGS-3816,5,5.324226853668141e-14,1.4408803894449938e-07,4,3228,17816,0.0034206426645685085,0.8464375422782009,F,62.45,40.9
Network_1019,BGS-3817,5,1.0536251049956822e-11,4.862538149276612e-07,5,3228,17816,0.0034206426645685085,0.8464375422782009,F,48.83333333,36.23333333
Network_1019,BGS-3818,5,5.199344887056999e-14,0.0010443501062697316,4,3228,17816,0.0034206426645685085,0.8464375422782009,F,25.75,33.25
Network_1019,BGS-3819,2,1.3177973439899178e-15,0.0005223671705201252,1,3228,17816,0.0034206426645685085,0.8464375422782009,F,43.5,35.0
Network_1019,BGS-382,30,3.7938491244005275e-09,0.0038720055135641213,14,3228,17816,0.0034206426645685085,0.8464375422782009,F,44.66666667,38.06666667
Network_1019,BGS-3820,2,2.9191075952258393e-13,1.7610760315438813e-07,2,3228,17816,0.0034206426645685085,0.8464375422782009,F,22.0,33.6
Network_1019,BGS-3822,1,1.1764865854944578e-18,0.0,1,3228,17816,0.0034206426645685085,0.8464375422782009,F,23.5,33.5
Network_1019,BGS-3823,1,3.5943245985225966e-13,0.0,1,3228,17816,0.0034206426645685085,0.8464375422782009,M,22.5,31.8
Network_1019,BGS-3825,2,3.973442240949988e-15,0.0,2,3228,17816,0.0034206426645685085,0.8464375422782009,M,26.2,33.6
Network_1019,BGS-3826,2,3.973651219654388e-15,0.0,2,3228,17816,0.0034206426645685085,0.8464375422782009,F,29.5,33.6
Network_1019,BGS-3828,1,1.0510061198812412e-18,0.0,1,3228,17816,0.0034206426645685085,0.8464375422782009,M,22.0,33.6
Network_1019,BGS-3829,5,6.258091403850014e-13,4.1168011126999823e-07,3,3228,17816,0.0034206426645685085,0.8464375422782009,F,45.5,37.4
Network_1019,BGS-383,7,6.883448088504756e-11,0.0013876869703067873,5,3228,17816,0.0034206426645685085,0.8464375422782009,,,
Network_1019,BGS-3830,2,2.4829755530575286e-15,0.0,2,3228,17816,0.0034206426645685085,0.8464375422782009,M,21.6,30.5
Network_1019,BGS-3832,2,2.4829790441824125e-15,0.0,2,3228,17816,0.0034206426645685085,0.8464375422782009,F,38.5,34.6
Network_1019,BGS-3834,3,9.554552889653681e-14,0.0010443501062697316,2,3228,17816,0.0034206426645685085,0.8464375422782009,M,28.5,31.0
Network_1019,BGS-3835,0,-1.4591640183555188e-18,0.0,0,3228,17816,0.0034206426645685085,0.8464375422782009,M,22.75,31.4
Network_1019,BGS-3836,1,9.541867034199874e-14,0.0,1,3228,17816,0.0034206426645685085,0.8464375422782009,F,34.5,34.9
Network_1019,BGS-3839,1,1.0849093201452674e-12,0.0,1,3228,17816,0.0034206426645685085,0.8464375422782009,M,23.4,31.4
Network_1019,BGS-389,13,6.453446821739925e-10,4.181447299352934e-07,13,3228,17816,0.0034206426645685085,0.8464375422782009,M,25.35,35.85
Network_1019,BGS-393,27,9.016786140539839e-10,9.65014866294861e-05,17,3228,17816,0.0034206426645685085,0.8464375422782009,F,37.41666667,33.42
Network_1019,BGS-395,21,1.2738163533792997e-09,9.908908012776898e-05,14,3228,17816,0.0034206426645685085,0.8464375422782009,F,54.65,38.55
Network_1019,BGS-396,32,4.029342546008619e-09,0.004084412168281715,13,3228,17816,0.0034206426645685085,0.8464375422782009,F,44.68,37.25
Network_1019,BGS-397,11,1.033506843683647e-11,1.0074226616362268e-06,9,3228,17816,0.0034206426645685085,0.8464375422782009,M,28.5,36.1
Network_1019,BGS-399,11,7.139300381076894e-14,4.923478873214659e-07,8,3228,17816,0.0034206426645685085,0.8464375422782009,F,29.5,35.2
Network_1019,BGS-4,14,2.073132996745312e-07,0.0002607993504895439,12,3228,17816,0.0034206426645685085,0.8464375422782009,,,
Network_1019,BGS-40,1,-2.0661612326579032e-18,0.0,1,3228,17816,0.0034206426645685085,0.8464375422782009,,,
Network_1019,BGS-402,18,1.4263224861405083e-09,3.145312382857742e-05,14,3228,17816,0.0034206426645685085,0.8464375422782009,F,52.0,38.1
Network_1019,BGS-403,3,1.1934898221410103e-11,0.0,3,3228,17816,0.0034206426645685085,0.8464375422782009,F,42.5,38.5
Network_1019,BGS-405,41,1.5670879321226502e-09,0.0005182518097606528,17,3228,17816,0.0034206426645685085,0.8464375422782009,F,37.65,32.8
Network_1019,BGS-409,7,2.204318835777012e-11,3.43670705842347e-06,7,3228,17816,0.0034206426645685085,0.8464375422782009,F,70.3,39.1
Network_1019,BGS-412,4,1.9150404247412417e-14,0.0,4,3228,17816,0.0034206426645685085,0.8464375422782009,F,49.6,42.2
Network_1019,BGS-413,13,4.253171053774719e-10,1.3853160562101149e-05,11,3228,17816,0.0034206426645685085,0.8464375422782009,M,23.8,34.5
Network_1019,BGS-416,22,3.706616482507211e-10,0.001694571610370482,10,3228,17816,0.0034206426645685085,0.8464375422782009,F,53.36666667,39.53333333
Network_1019,BGS-417,27,1.2012386810262654e-09,0.00019763669777373544,17,3228,17816,0.0034206426645685085,0.8464375422782009,M,22.75,34.5
Network_1019,BGS-420,15,6.329718715561002e-14,0.000411499076551179,9,3228,17816,0.0034206426645685085,0.8464375422782009,F,39.0,38.6
Network_1019,BGS-422,42,2.7714468875019455e-09,0.000280529492800069,17,3228,17816,0.0034206426645685085,0.8464375422782009,F,47.6,35.93333333
Network_1019,BGS-425,35,2.285184911752894e-09,0.0037591720240018386,16,3228,17816,0.0034206426645685085,0.8464375422782009,F,39.8,35.35
Network_1019,BGS-426,13,1.4700625750766173e-10,0.0008157368479836775,8,3228,17816,0.0034206426645685085,0.8464375422782009,M,28.4,36.6
Network_1019,BGS-427,19,5.621891513281713e-10,0.0001267810498088705,13,3228,17816,0.0034206426645685085,0.8464375422782009,F,81.5,49.9
Network_1019,BGS-436,16,3.9993878406228896e-10,3.473840596717415e-05,10,3228,17816,0.0034206426645685085,0.8464375422782009,F,43.25,35.3
Network_1019,BGS-437,22,8.238748308808648e-10,0.00015688643383561382,17,3228,17816,0.0034206426645685085,0.8464375422782009,M,20.0,32.2
Network_1019,BGS-438,3,8.65278758493815e-09,0.0,3,3228,17816,0.0034206426645685085,0.8464375422782009,M,20.0,33.1
Network_1019,BGS-439,15,3.2434582917894505e-07,0.001828707593048924,8,3228,17816,0.0034206426645685085,0.8464375422782009,M,23.8,36.26666667
Network_1019,BGS-440,3,8.652787585623654e-09,0.0,3,3228,17816,0.0034206426645685085,0.8464375422782009,M,18.0,32.6
Network_1019,BGS-441,3,8.652787585424939e-09,0.0,3,3228,17816,0.0034206426645685085,0.8464375422782009,F,37.0,39.8
Network_1019,BGS-442,3,9.448352890633475e-09,0.0,3,3228,17816,0.0034206426645685085,0.8464375422782009,F,52.5,44.1
Network_1019,BGS-443,3,9.448352891608631e-09,0.0,3,3228,17816,0.0034206426645685085,0.8464375422782009,M,16.5,32.0
Network_1019,BGS-444,18,3.541672348228053e-07,0.0015659488072488194,15,3228,17816,0.0034206426645685085,0.8464375422782009,,,
Network_1019,BGS-445,20,4.0294652497743225e-06,0.0010438875300447727,9,3228,17816,0.0034206426645685085,0.8464375422782009,M,22.55,34.6375
Network_1019,BGS-446,2,3.024075321305534e-18,0.0,2,3228,17816,0.0034206426645685085,0.8464375422782009,M,23.5,38.2
Network_1019,BGS-448,1,2.8895108094400164e-08,0.0,1,3228,17816,0.0034206426645685085,0.8464375422782009,F,5.9,18.9
Network_1019,BGS-451,3,9.448352891115403e-09,0.0,3,3228,17816,0.0034206426645685085,0.8464375422782009,M,20.0,33.3
Network_1019,BGS-452,2,1.2620882583777097e-18,0.0,2,3228,17816,0.0034206426645685085,0.8464375422782009,M,27.5,38.2
Network_1019,BGS-453,2,4.434992019097503e-18,0.0,2,3228,17816,0.0034206426645685085,0.8464375422782009,M,30.5,40.0
Network_1019,BGS-456,10,1.629976681960545e-18,4.436853437845877e-06,8,3228,17816,0.0034206426645685085,0.8464375422782009,M,33.55,38.35
Network_1019,BGS-458,12,1.3047125592934801e-10,0.0004946002741856546,8,3228,17816,0.0034206426645685085,0.8464375422782009,F,41.75,37.55
Network_1019,BGS-459,18,4.1702442607790525e-07,0.00048416758535679404,11,3228,17816,0.0034206426645685085,0.8464375422782009,F,31.8,34.8
Network_1019,BGS-46,2,-2.301548847641383e-18,0.0,2,3228,17816,0.0034206426645685085,0.8464375422782009,,,
Network_1019,BGS-460,3,9.972103229139784e-09,0.0,3,3228,17816,0.0034206426645685085,0.8464375422782009,M,13.3,27.6
Network_1019,BGS-461,5,2.5657522897321757e-08,1.9997781896818474e-06,4,3228,17816,0.0034206426645685085,0.8464375422782009,M,8.9,23.8
Network_1019,BGS-462,13,3.9643099407703655e-07,2.0262182727285333e-07,11,3228,17816,0.0034206426645685085,0.8464375422782009,F,43.5,36.86666667
Network_1019,BGS-463,10,4.2085334348694994e-07,5.370961850391511e-05,9,3228,17816,0.0034206426645685085,0.8464375422782009,M,7.4,21.6
Network_1019,BGS-464,11,7.139419507721229e-14,4.923478873214659e-07,8,3228,17816,0.0034206426645685085,0.8464375422782009,F,9.8,23.7
Network_1019,BGS-466,3,1.0579919672907985e-10,1.0634671353420204e-06,3,3228,17816,0.0034206426645685085,0.8464375422782009,M,8.1,22.5
Network_1019,BGS-467,19,1.8026768014562044e-10,0.0005089647609948732,9,3228,17816,0.0034206426645685085,0.8464375422782009,F,16.03333333,28.73333333
Network_1019,BGS-468,10,2.8843343599786176e-11,1.1242786289581945e-06,8,3228,17816,0.0034206426645685085,0.8464375422782009,M,15.5,27.5
Network_1019,BGS-469,23,7.194521470267687e-10,1.5979645460645023e-05,17,3228,17816,0.0034206426645685085,0.8464375422782009,F,7.683333333,20.94
Network_1019,BGS-470,28,1.6837765839449259e-09,0.00036655241593790074,14,3228,17816,0.0034206426645685085,0.8464375422782009,M,12.5,24.6
Network_1019,BGS-471,18,9.36044090754625e-14,0.0008251579198669538,9,3228,17816,0.0034206426645685085,0.8464375422782009,,,
Network_1019,BGS-473,1,-1.1637258690323789e-18,0.0,1,3228,17816,0.0034206426645685085,0.8464375422782009,F,64.0,46.4
Network_1019,BGS-474,2,6.15103056611385e-19,0.0,2,3228,17816,0.0034206426645685085,0.8464375422782009,F,52.0,39.4
Network_1019,BGS-475,2,1.9746451803699867e-18,0.0,2,3228,17816,0.0034206426645685085,0.8464375422782009,F,47.5,39.1
Network_1019,BGS-477,14,4.841501243878391e-14,0.0002392524421851947,9,3228,17816,0.0034206426645685085,0.8464375422782009,M,21.25,35.45
Network_1019,BGS-478,18,9.360425368788946e-14,0.0008251579198669538,9,3228,17816,0.0034206426645685085,0.8464375422782009,M,14.5,24.5
Network_1019,BGS-479,10,6.024800978098053e-13,0.0009609926013787712,7,3228,17816,0.0034206426645685085,0.8464375422782009,F,7.0,19.2
Network_1019,BGS-47b,0,1.6456241489363391e-18,0.0,0,3228,17816,0.0034206426645685085,0.8464375422782009,,,
Network_1019,BGS-480,9,6.009163061606252e-13,0.0006942886885751951,7,3228,17816,0.0034206426645685085,0.8464375422782009,F,11.0,23.8
Network_1019,BGS-481,9,6.009164668939813e-13,0.0006942886885751951,7,3228,17816,0.0034206426645685085,0.8464375422782009,M,9.0,23.4
Network_1019,BGS-482,9,2.795075153644129e-07,0.0,9,3228,17816,0.0034206426645685085,0.8464375422782009,F,34.0,34.6
Network_1019,BGS-483,1,5.952595361290713e-19,0.0,1,3228,17816,0.0034206426645685085,0.8464375422782009,M,8.1,21.7
Network_1019,BGS-484,1,7.030349676646882e-05,0.0,1,3228,17816,0.0034206426645685085,0.8464375422782009,M,6.6,21.6
Network_1019,BGS-485,10,4.208533434865159e-07,5.370961850391511e-05,9,3228,17816,0.0034206426645685085,0.8464375422782009,M,6.9,21.0
Network_1019,BGS-486,17,1.1921984552165472e-06,0.00025664388519206367,10,3228,17816,0.0034206426645685085,0.8464375422782009,M,6.033333333,19.73333333
Network_1019,BGS-487,10,4.208533434868049e-07,5.370961850391511e-05,9,3228,17816,0.0034206426645685085,0.8464375422782009,F,9.25,23.7
Network_1019,BGS-488,17,1.1921984552182372e-06,0.00025664388519206367,10,3228,17816,0.0034206426645685085,0.8464375422782009,F,8.5,22.3
Network_1019,BGS-489,10,0.0027759017740051238,0.0010938571061865096,6,3228,17816,0.0034206426645685085,0.8464375422782009,F,58.625,40.125
Network_1019,BGS-49,2,-2.8181376009261233e-18,0.0,2,3228,17816,0.0034206426645685085,0.8464375422782009,,,
Network_1019,BGS-490,11,5.722321925691926e-06,0.0027398730191285905,8,3228,17816,0.0034206426645685085,0.8464375422782009,F,23.6,30.6
Network_1019,BGS-491,1,-1.3838668463247755e-18,0.0,1,3228,17816,0.0034206426645685085,0.8464375422782009,F,37.5,38.0
Network_1019,BGS-492,2,2.4056002745208076e-18,1.152704311555995e-06,1,3228,17816,0.0034206426645685085,0.8464375422782009,M,11.2,24.9
Network_1019,BGS-493,1,-1.125687734250413e-18,0.0,1,3228,17816,0.0034206426645685085,0.8464375422782009,F,65.0,43.4
Network_1019,BGS-494,2,1.0960352997055326e-11,0.0,2,3228,17816,0.0034206426645685085,0.8464375422782009,M,27.5,36.75
Network_1019,BGS-495,2,-2.5344372259864587e-19,7.684695410373301e-07,1,3228,17816,0.0034206426645685085,0.8464375422782009,M,12.5,23.4
Network_1019,BGS-496,7,9.770676715513167e-11,0.00022097213938948173,4,3228,17816,0.0034206426645685085,0.8464375422782009,M,16.5,28.65
Network_1019,BGS-497,3,5.6755328734066415e-12,0.0,3,3228,17816,0.0034206426645685085,0.8464375422782009,M,7.7,21.3
Network_1019,BGS-498,8,5.0105405245875425e-08,3.2022062922662944e-06,6,3228,17816,0.0034206426645685085,0.8464375422782009,F,8.6,22.5
Network_1019,BGS-5,14,2.073132996748631e-07,0.0002607993504895439,12,3228,17816,0.0034206426645685085,0.8464375422782009,,,
Network_1019,BGS-50,2,-1.917383882682725e-18,0.0,2,3228,17816,0.0034206426645685085,0.8464375422782009,,,
Network_1019,BGS-500,3,3.578724585788396e-18,1.152704311555995e-06,2,3228,17816,0.0034206426645685085,0.8464375422782009,F,43.0,38.55
Network_1019,BGS-501,16,3.106712921604113e-07,0.0062130438481152956,8,3228,17816,0.0034206426645685085,0.8464375422782009,M,11.75,25.85
Network_1019,BGS-502,13,3.1798105777680297e-07,0.0009859729041014037,8,3228,17816,0.0034206426645685085,0.8464375422782009,F,5.1,20.0
Network_1019,BGS-504,8,2.6825289080266386e-14,0.0,8,3228,17816,0.0034206426645685085,0.8464375422782009,M,11.4,24.4
Network_1019,BGS-505,4,5.781751235828481e-13,0.0,4,3228,17816,0.0034206426645685085,0.8464375422782009,F,9.3,23.0
Network_1019,BGS-506,12,5.907171080175911e-13,0.0021513913972710246,8,3228,17816,0.0034206426645685085,0.8464375422782009,F,8.3,23.0
Network_1019,BGS-507,8,2.682414277124139e-14,0.0,8,3228,17816,0.0034206426645685085,0.8464375422782009,F,12.5,25.6
Network_1019,BGS-509,7,3.862138816332599e-10,4.66269920818384e-07,7,3228,17816,0.0034206426645685085,0.8464375422782009,F,8.4,23.1
Network_1019,BGS-510,1,3.4868301133337618e-12,0.0,1,3228,17816,0.0034206426645685085,0.8464375422782009,F,12.1,25.3
Network_1019,BGS-511,25,1.1089425067863013e-09,0.0003510420439353458,13,3228,17816,0.0034206426645685085,0.8464375422782009,F,52.11666667,40.8
Network_1019,BGS-512,21,1.9384349047101164e-10,0.0016637911552382595,9,3228,17816,0.0034206426645685085,0.8464375422782009,F,49.625,40.13333333
Network_1019,BGS-513,3,5.389195539738344e-06,0.0,3,3228,17816,0.0034206426645685085,0.8464375422782009,F,20.0,30.0
Network_1019,BGS-514,1,-1.2909403437886776e-18,0.0,1,3228,17816,0.0034206426645685085,0.8464375422782009,F,44.0,37.8
Network_1019,BGS-515,10,4.2085334348629767e-07,5.370961850391511e-05,9,3228,17816,0.0034206426645685085,0.8464375422782009,F,31.0,33.3
Network_1019,BGS-516,1,9.553624211825451e-19,0.0,1,3228,17816,0.0034206426645685085,0.8464375422782009,F,6.5,19.6
Network_1019,BGS-517,16,5.541687419928826e-09,0.003735473927262929,7,3228,17816,0.0034206426645685085,0.8464375422782009,M,27.0,36.16666667
Network_1019,BGS-518,26,9.602256875135957e-10,0.0002784433231527311,13,3228,17816,0.0034206426645685085,0.8464375422782009,F,22.5,30.15
Network_1019,BGS-520,30,4.716954809019278e-10,0.004538323199196248,10,3228,17816,0.0034206426645685085,0.8464375422782009,M,18.52,30.0
Network_1019,BGS-521,22,9.498202254583908e-10,0.00010257736098618481,13,3228,17816,0.0034206426645685085,0.8464375422782009,F,7.9,21.5
Network_1019,BGS-522,31,4.876271975892006e-09,0.0013490910187233896,17,3228,17816,0.0034206426645685085,0.8464375422782009,F,20.0,28.1
Network_1019,BGS-523,20,1.863036010838493e-10,0.0003920116921553385,9,3228,17816,0.0034206426645685085,0.8464375422782009,M,20.16666667,31.06666667
Network_1019,BGS-524,27,9.149391907808739e-10,7.74467566990703e-05,17,3228,17816,0.0034206426645685085,0.8464375422782009,F,11.86666667,25.6
Network_1019,BGS-526,13,1.2563057477843567e-09,0.0015416225628441039,9,3228,17816,0.0034206426645685085,0.8464375422782009,M,17.85,29.3
Network_1019,BGS-527,16,4.1663377636757275e-10,2.5922722038716428e-05,12,3228,17816,0.0034206426645685085,0.8464375422782009,F,8.4,22.0
Network_1019,BGS-528,20,7.95457193094812e-11,0.0007623667184828719,9,3228,17816,0.0034206426645685085,0.8464375422782009,F,28.66666667,34.6
Network_1019,BGS-529,29,9.911307883712984e-10,6.524251667790118e-05,17,3228,17816,0.0034206426645685085,0.8464375422782009,F,13.15,24.8
Network_1019,BGS-530,5,1.498796745253987e-18,6.993072823439705e-05,3,3228,17816,0.0034206426645685085,0.8464375422782009,F,63.0,44.2
Network_1019,BGS-531,14,3.039118045854261e-10,2.1855797829759584e-05,10,3228,17816,0.0034206426645685085,0.8464375422782009,F,51.55,39.6
