network,node,degree,eigenvector,betweenness,kshell,node_count,edge_count,density,modularity,Infected_Ever,Number_Days_with_RFID_Data,Average_Adjusted_Group_Size,Eigenvector_Centrality,Feeders_Visited_per_Day,Feeding_Bouts_per_Day,Instances_of_Aggression_per_Day,Number_of_Captures,Num_Unique_Indivs_w_which_Interacted_Aggressively,Relative_Dominance,Sex,Time_on_Feeders_per_Day_in_Minutes,Weighted_Degree
Network_438,2281-94441,17,0.05037504309233672,0.025770054297462635,10,117,1027,0.15134099616858238,0.5891424805616717,N,135,0.07207328,0.0012033810000000001,0.014814815,13.17777778,1.844444444,1,0.059259259,-0.076520129,F,6.186419752999999,0.48903159999999996
Network_438,2581-25058,15,0.061775774233430565,0.001332988068739328,12,117,1027,0.15134099616858238,0.5891424805616717,N,26,0.083631048,0.004643346,0.115384615,13.38461538,2.153846154,2,0.423076923,0.0009096919999999999,M,7.944551282000001,0.24679913
Network_438,2281-94445,13,0.04384240773209777,0.011618557026602269,10,117,1027,0.15134099616858238,0.5891424805616717,Y,41,0.091329431,0.0009455630000000001,0.073170732,5.707317073,0.975609756,1,0.12195122,-0.098707319,F,2.573373983,0.170029832
Network_438,2281-94447,1,0.0001977487021532902,0.0,1,117,1027,0.15134099616858238,0.5891424805616717,N,1,0.076923077,9.15e-06,1.0,2.0,0.0,1,0.0,-0.083304345,M,4.116666667,0.076923077
Network_438,2581-25065,0,7.716436235102397e-19,0.0,0,117,1027,0.15134099616858238,0.5891424805616717,N,1,0.038461537999999997,0.0,1.0,2.0,0.0,1,0.0,-0.083304345,F,0.241666667,0.0
Network_438,2281-94475,0,2.517528859914357e-18,0.0,0,117,1027,0.15134099616858238,0.5891424805616717,N,1,0.028571429,0.0,1.0,8.0,0.0,1,0.0,-0.083304345,F,0.375,0.0
Network_438,2281-94477,1,1.086408420768723e-18,0.0,1,117,1027,0.15134099616858238,0.5891424805616717,N,12,0.045248869000000004,9.939999999999998e-60,0.083333333,21.16666667,0.0,1,0.0,-0.083304345,M,23.98472222,0.166666667
Network_438,2581-25068,30,0.14050573195926974,0.005659124848169207,17,117,1027,0.15134099616858238,0.5891424805616717,Y,29,0.100345869,0.088449587,0.068965517,25.03448276,8.379310345,2,0.8275862070000001,0.233944509,F,13.738793099999999,0.508795762
Network_438,2281-94473,3,0.0037062165162474593,0.0,3,117,1027,0.15134099616858238,0.5891424805616717,N,1,0.08620689699999999,6.48e-05,1.0,3.0,0.0,1,0.0,-0.083304345,M,0.125,0.014525915
Network_438,2281-94464,30,0.040431310717027595,0.05191096366685346,15,117,1027,0.15134099616858238,0.5891424805616717,N,115,0.061385682999999996,0.00223226,0.008695652,19.83478261,1.4173913040000001,2,0.191304348,-0.032593574,M,5.470362317999999,0.6280863179999999
Network_438,2281-94469,13,0.07513464272638211,0.00014675102232239253,13,117,1027,0.15134099616858238,0.5891424805616717,N,9,0.074095909,0.008189214,0.222222222,4.777777778,0.7777777779999999,2,0.444444444,-0.29499518,M,0.8888888890000001,0.041788736
Network_438,2551-79118,28,0.0417049386742058,0.02640802602653904,15,117,1027,0.15134099616858238,0.5891424805616717,N,32,0.076211825,0.00431455,0.0625,16.59375,2.90625,1,0.5625,0.113081512,M,2.851302083,0.914193209
Network_438,2551-79119,26,0.1008355079963261,0.04028621215028431,16,117,1027,0.15134099616858238,0.5891424805616717,N,47,0.055402239000000006,0.008656282,0.063829787,12.08510638,0.9361702129999999,1,0.36170212799999996,0.054211837,M,3.12890071,0.386893164
Network_438,2551-79117,29,0.03890809993340979,0.0312876878066891,15,117,1027,0.15134099616858238,0.5891424805616717,N,36,0.077656385,0.0042129540000000005,0.055555556,15.30555556,2.6944444439999997,1,0.472222222,0.055880427,F,3.32824074,1.019071294
Network_438,2551-79112,21,0.03473918071849812,0.007527367788158641,15,117,1027,0.15134099616858238,0.5891424805616717,N,24,0.059193344,0.0026774959999999997,0.041666667000000004,15.125,1.4166666669999999,1,0.291666667,-0.026284425,M,2.446527778,0.656577006
Network_438,2551-79113,5,0.005972748105803509,0.0,5,117,1027,0.15134099616858238,0.5891424805616717,N,5,0.047702027,8.63e-05,0.2,6.0,0.4,1,0.4,-0.028565221000000002,F,1.645,0.024184268999999998
Network_438,2551-79110,33,0.16040434029507175,0.005315233795705091,16,117,1027,0.15134099616858238,0.5891424805616717,N,71,0.064610557,0.017060374,0.042253520999999995,16.52112676,1.014084507,1,0.267605634,0.001352723,M,3.414319248,0.497023877
Network_438,2551-79111,20,0.08303181868837023,0.00501278902525834,14,117,1027,0.15134099616858238,0.5891424805616717,N,23,0.07071129799999999,0.0035035179999999997,0.130434783,4.260869565,0.47826087,1,0.39130434799999997,-0.09886201,M,1.195289855,0.147841888
Network_438,2581-25100,43,0.19888451781269012,0.022866508321268856,17,117,1027,0.15134099616858238,0.5891424805616717,N,66,0.085494786,0.088399764,0.045454545,11.16666667,1.8030303030000001,2,0.409090909,-0.13529381699999998,M,2.327020202,0.595058806
Network_438,2281-94414,31,0.12105967194376654,0.014992565951750412,16,117,1027,0.15134099616858238,0.5891424805616717,Y,94,0.061563232999999995,0.01380563,0.021276596000000002,15.25531915,1.574468085,3,0.244680851,-0.020256248,M,4.94751773,0.42481071600000003
Network_438,2281-94410,4,0.019248116060392523,0.0,4,117,1027,0.15134099616858238,0.5891424805616717,N,1,0.10204081599999999,0.00044975099999999997,1.0,1.0,1.0,2,1.0,-0.809608725,F,0.8833333329999999,0.024760242999999998
Network_438,2281-94418,20,0.06112954963696445,0.018661572583165857,12,117,1027,0.15134099616858238,0.5891424805616717,N,101,0.08109894299999999,0.001512352,0.01980198,11.93069307,2.6435643559999997,3,0.118811881,-0.103000862,M,6.04059406,0.47735618700000004
Network_438,2581-25086,24,0.13216445238323843,0.0018128891696546803,17,117,1027,0.15134099616858238,0.5891424805616717,N,33,0.086510959,0.121032857,0.03030303,41.15151515,4.727272727,1,0.606060606,0.280654801,M,17.45126263,0.49180508700000003
Network_438,2581-25087,25,0.025301045768626105,0.0070721682020045825,15,117,1027,0.15134099616858238,0.5891424805616717,N,55,0.068365063,0.002075277,0.036363636,10.10909091,1.745454545,3,0.272727273,-0.14090909699999998,M,3.087424242,0.7384296929999999
Network_438,2581-25085,19,0.09556312041593241,0.013718708685284974,15,117,1027,0.15134099616858238,0.5891424805616717,N,8,0.069524621,0.00663285,0.5,14.5,2.75,2,1.375,-0.366184819,M,6.995833332999999,0.08521814400000001
Network_438,2581-25082,35,0.17526937231833814,0.007146539813569607,17,117,1027,0.15134099616858238,0.5891424805616717,N,57,0.083359847,0.15535279,0.052631579000000005,38.31578947,3.263157895,1,0.456140351,-0.017556837,M,10.04298246,0.691138916
Network_438,2581-25083,14,0.08594140848222993,1.8064971309411704e-05,14,117,1027,0.15134099616858238,0.5891424805616717,N,9,0.09450358800000001,0.033283099999999996,0.111111111,23.44444444,3.333333333,2,0.8888888890000001,-0.203763308,F,9.391666667,0.157241355
Network_438,2581-25080,22,0.12409296504284845,0.016353279933841336,17,117,1027,0.15134099616858238,0.5891424805616717,N,19,0.08252202900000001,0.037777449,0.10526315800000001,9.315789473999999,0.36842105299999994,1,0.36842105299999994,-0.16917391899999998,M,1.04122807,0.16993468
Network_438,2581-25081,30,0.15544763483705942,0.005482640786872739,17,117,1027,0.15134099616858238,0.5891424805616717,N,44,0.09769728800000001,0.128721091,0.022727273,22.43181818,3.0,1,0.454545455,0.071962443,M,6.995075758,0.586718866
Network_438,2581-25088,18,0.01785222739627274,0.008404911064626163,14,117,1027,0.15134099616858238,0.5891424805616717,N,17,0.062267086,0.000700057,0.117647059,6.4117647060000005,0.470588235,1,0.352941176,0.168089515,F,1.291176471,0.297532582
Network_438,2581-25089,4,0.004217675084727291,0.0,4,117,1027,0.15134099616858238,0.5891424805616717,N,2,0.069194062,8.669999999999999e-05,0.5,1.0,0.0,1,0.0,-0.083304345,M,0.054166667,0.04418799599999999
Network_438,2551-79108,7,0.016953702419822445,1.4992503748125937e-05,7,117,1027,0.15134099616858238,0.5891424805616717,N,19,0.072984555,0.000282437,0.052631579000000005,16.21052632,0.31578947399999996,1,0.10526315800000001,-0.107125859,M,3.66754386,0.071695661
