network,node,degree,eigenvector,betweenness,kshell,node_count,edge_count,density,modularity,colony,tag_id,body_size,age(days),nb_foraging_events,group_period1,group_period2,group_period3,group_period4,visits_to_brood,visits_to_nest_entrance,visits_to_rubbishpile,nb_interaction_nurses,nb_interaction_cleaners,nb_interaction_foragers,nb_interaction_queen
Network_98,Ant19,60,0.04986458570001863,0.0006451725330184657,58,141,6731,0.6819655521783181,0.27677337351008513,21.0,19.0,124.32600000000001,40.0,2.0,F,F,F, ,19.0909,3.54545,0.636364,81.636364,178.45455,300.18182,0.0
Network_98,Ant614,122,0.10487334704857543,0.00386578959895119,70,141,6731,0.6819655521783181,0.27677337351008513,21.0,614.0,153.222,40.0,0.0,N,N,N,N,648.727,1.36364,1.18182,533.27273,138.90909,55.18181800000001,4.909
Network_98,Ant15,93,0.08321442440104847,0.0014999914854719125,70,141,6731,0.6819655521783181,0.27677337351008513,21.0,15.0,142.864,5.0,0.0,C,N,C, ,191.273,0.818182,0.727273,242.45455,139.09091,87.090909,2.636
Network_98,Ant17,112,0.09669004204723482,0.003159123189903549,70,141,6731,0.6819655521783181,0.27677337351008513,21.0,17.0,150.376,40.0,0.0,N,N,N,N,693.3639999999999,3.54545,3.18182,870.1818199999999,230.09091,96.272727,17.09
Network_98,Ant13,93,0.08099951157825137,0.0017483293940073513,70,141,6731,0.6819655521783181,0.27677337351008513,21.0,13.0,167.05700000000002,40.0,0.0,N,N,N,N,102.727,0.181818,3.72727,372.81818,148.54545,65.0,8.545
Network_98,Ant12,122,0.10513975642702462,0.0037574070485902338,70,141,6731,0.6819655521783181,0.27677337351008513,21.0,12.0,217.037,176.0,0.0,F,F,C,C,110.818,20.2727,0.0,194.09091,297.45455,550.81818,0.4545
Network_98,Ant97,118,0.1009241317266036,0.004278469052540764,70,141,6731,0.6819655521783181,0.27677337351008513,21.0,97.0,152.971,40.0,0.0,N,N,N,N,750.455,1.36364,1.54545,1070.4545,165.90909,64.545455,19.82
Network_98,Ant96,104,0.091428104157397,0.0020680128334711677,70,141,6731,0.6819655521783181,0.27677337351008513,21.0,96.0,178.24099999999999,57.0,0.0,N,N,N,C,96.6364,0.545455,8.727269999999999,441.54545,197.0,101.27273000000001,23.64
Network_98,Ant169,32,0.023648263807336447,3.229236080798821e-05,32,141,6731,0.6819655521783181,0.27677337351008513,21.0,169.0,127.35,155.0,94.0,F,F, , ,6.72727,68.4545,0.181818,23.0,72.909091,316.72727000000003,0.0
Network_98,Ant298,95,0.08382092592746086,0.0018316459850836063,70,141,6731,0.6819655521783181,0.27677337351008513,21.0,298.0,164.551,5.0,0.0,C,N, , ,10.9091,0.0,0.454545,253.0,197.90909,160.72727,4.727
